"idnum","child_attend_kindergarten","povstatus","father_mothly_pretax_inc_w1","mother_mothly_pretax_inc_w1","father_mothly_saved_inc_w1","mother_mothly_saved_inc_w1","child_gender_w1","father_in_jail_w1","parents_edustatus_w1","cm1ethrace_w1","cf1ethrace_w1","marry_w1","cm1span_w1","cf1span_w1","cm1age_w1","cf1age_w1","c_neat_work_w3","c_curious_w3","c_interest_w3","f_youth_cor_w3","m_youth_cor_w3","f_quit_w4","m_quit_w4","father_fin_security_w234","mother_fin_security_w2345","hs_avg_score","child_edu_level","fparents_edustatus_w2345","mparents_edustatus_w2345"
2848,"yes","high-income",7,NA,"Just enough","Just enough","Female","No","At least one parent attended college","black","white",NA,"No","No",25,37,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,"Neither parent attended college","At least one parent attended college"
2849,NA,"low-income",NA,2,NA,"Not enough","Female","No","At least one parent attended college","hispanic","hispanic",NA,"No",NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA
2850,"yes","low-income",NA,3,"Some","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",31,32,NA,NA,"Very true or often true",NA,NA,NA,NA,"Yes","No",NA,NA,"Neither parent attended college","Neither parent attended college"
2851,"yes","high-income",8,1,"Not enough","Just enough","Female","No","Neither parent attended college","hispanic","hispanic","Yes","No","No",20,29,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3,"Some college, tech","Neither parent attended college","Neither parent attended college"
2852,NA,"high-income",NA,7,NA,"Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No",NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2853,"yes","low-income",NA,1,"Just enough",NA,"Male","Yes","Neither parent attended college","black","black",NA,"No","No",22,22,"Somewhat or sometimes true","Very true or often true","Not true","yes",NA,"no",NA,"No","Yes",3.25,"Less than high school","Neither parent attended college","Neither parent attended college"
2854,NA,"low-income",NA,4,NA,"Just enough","Female","No","At least one parent attended college",NA,NA,NA,"No",NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2855,"yes","low-income",3,2,"Just enough",NA,"Male","No","Neither parent attended college","hispanic","hispanic",NA,NA,"Yes",31,33,"Not true","Very true or often true","Not true",NA,NA,NA,NA,"No","No",NA,"Completed college/grad","Neither parent attended college","Neither parent attended college"
2856,"yes","low-income",NA,2,NA,"Just enough","Female","No","At least one parent attended college","black","black",NA,"No",NA,34,NA,NA,NA,"Somewhat or sometimes true",NA,NA,"yes",NA,"No","No",3.5,"Some college, tech","Neither parent attended college","Neither parent attended college"
2857,"no","low-income",NA,NA,"Just enough","Some","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",27,41,NA,NA,"Not true",NA,"no",NA,NA,"No","No",4,"Less than high school",NA,"Neither parent attended college"
2858,"yes","low-income",1,NA,"Just enough","Just enough","Female","No","Neither parent attended college","black","black","No","No","No",21,24,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"Yes","Yes",3.66666666666667,"Some college, tech","Neither parent attended college","At least one parent attended college"
2859,"yes","low-income",NA,1,"Some","Some","Female","No","Neither parent attended college","black",NA,NA,"No","No",23,29,NA,NA,NA,NA,NA,NA,NA,"No","Yes",2.25,"Completed high school",NA,"Neither parent attended college"
2860,"yes","low-income",4,3,"Just enough","Some","Male","No","Neither parent attended college","black","black",NA,"No","No",19,19,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",NA,NA,"At least one parent attended college","At least one parent attended college"
2861,"no","high-income",NA,7,NA,"Not enough","Male","No","At least one parent attended college",NA,"black",NA,"No",NA,27,NA,NA,NA,"Not true",NA,NA,NA,NA,NA,"Yes",2,NA,NA,"At least one parent attended college"
2862,"yes","low-income",2,2,"Some","Not enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","Yes",20,24,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,NA,"No",NA,NA,NA,"Neither parent attended college"
2863,"yes","low-income",6,4,"Some","Just enough","Female","No","At least one parent attended college","hispanic","hispanic",NA,"Yes","No",20,22,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",3.25,"Some college, tech","Neither parent attended college","Neither parent attended college"
2864,NA,"low-income",5,NA,"Not enough",NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",28,21,NA,NA,NA,NA,NA,NA,NA,"No","Yes",NA,NA,"Neither parent attended college","Neither parent attended college"
2865,"yes","high-income",5,2,"Just enough","Some","Female","No","Neither parent attended college","black","black","Yes","No","No",18,29,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"No","Yes",1.75,"Completed high school","Neither parent attended college","Neither parent attended college"
2866,"yes","low-income",7,2,"Just enough","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",26,25,NA,NA,NA,NA,NA,NA,"no","Yes","Yes",NA,"Completed high school","At least one parent attended college","Neither parent attended college"
2867,"yes","high-income",7,7,"Some","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",25,26,NA,NA,NA,NA,NA,NA,NA,"No","Yes",2.25,"Completed high school","At least one parent attended college","At least one parent attended college"
2868,"no","high-income",7,8,"Some","Some","Male","Yes","At least one parent attended college","white","white",NA,"No","No",26,27,NA,NA,"Not true",NA,NA,NA,"no","Yes","Yes",2,"Completed high school","At least one parent attended college","At least one parent attended college"
2869,"no","low-income",NA,2,NA,"Some","Female","No","Neither parent attended college",NA,"black","Yes","No",NA,34,NA,NA,NA,"Not true",NA,"no",NA,NA,"Yes","Yes",3.75,"Some college, tech","Neither parent attended college","At least one parent attended college"
2870,"yes","high-income",8,NA,"Just enough","Some","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",23,23,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",2.25,"Completed high school","Neither parent attended college",NA
2871,"no","low-income",NA,6,NA,"Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No",NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,"Neither parent attended college"
2872,"yes","high-income",6,NA,"Some","Some","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","No",25,26,NA,NA,"Not true",NA,NA,NA,NA,"Yes","No",2.5,"Less than high school","Neither parent attended college","Neither parent attended college"
2873,"yes","low-income",1,3,"Some","Some","Male","No","Neither parent attended college","black","black",NA,"No","No",19,18,NA,NA,"Not true","yes",NA,NA,NA,"Yes","No",2.25,NA,"At least one parent attended college","Neither parent attended college"
2874,NA,"low-income",NA,NA,"Just enough","Just enough","Male","No","Neither parent attended college","hispanic","black",NA,"No","No",26,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2875,NA,"low-income",1,NA,"Just enough","Just enough","Female","No","Neither parent attended college","black","black","No","No","No",28,33,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"At least one parent attended college",NA
2876,"yes","low-income",9,3,"Some","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",22,23,NA,NA,"Not true","yes",NA,NA,NA,"Yes","Yes",3,"Some college, tech","Neither parent attended college","Neither parent attended college"
2877,"yes","high-income",9,NA,"Some","Some","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",19,25,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"No","No",NA,NA,"At least one parent attended college","Neither parent attended college"
2878,"yes","high-income",NA,5,"Some","Some","Female","No","Neither parent attended college","black","hispanic",NA,"No","No",21,20,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",NA,"Completed high school","Neither parent attended college","Neither parent attended college"
2879,NA,"low-income",NA,2,NA,"Just enough","Female","No","At least one parent attended college","white","white",NA,"No",NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,"Neither parent attended college"
2880,"yes","low-income",2,2,"Just enough",NA,"Male","No","Neither parent attended college","black","black",NA,"No","No",20,22,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2,"Completed high school","Neither parent attended college","Neither parent attended college"
2881,"yes","high-income",NA,9,NA,"Some","Male","No","At least one parent attended college","white","white",NA,"No",NA,34,NA,NA,NA,"Not true",NA,NA,NA,NA,"No","No",3,NA,"At least one parent attended college","Neither parent attended college"
2882,"yes","low-income",NA,NA,NA,"Just enough","Male","No","Neither parent attended college","black","black",NA,"No",NA,25,NA,NA,NA,"Not true",NA,NA,NA,NA,NA,"Yes",2,"Completed high school","At least one parent attended college","Neither parent attended college"
2883,"yes","low-income",NA,3,NA,"Not enough","Male","No","At least one parent attended college","white","white",NA,"No",NA,23,NA,NA,NA,"Not true",NA,NA,NA,NA,NA,"No",2.33333333333333,"Completed high school",NA,"At least one parent attended college"
2884,"no","low-income",7,6,"Some","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",28,31,NA,NA,"Not true",NA,NA,"no","no","Yes","No",3.25,"Completed college/grad","At least one parent attended college","At least one parent attended college"
2885,"no","low-income",NA,2,NA,NA,"Male","No","Neither parent attended college",NA,"hispanic",NA,NA,NA,31,NA,"Very true or often true","Very true or often true","Not true",NA,NA,NA,NA,NA,"No",NA,NA,NA,"At least one parent attended college"
2886,"yes","low-income",NA,1,NA,NA,"Female",NA,"Neither parent attended college","hispanic","hispanic",NA,"Yes",NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",2.75,"Completed high school",NA,"Neither parent attended college"
2887,"no","high-income",7,7,"Some","Some","Female","No","Neither parent attended college","white","white",NA,"No","No",25,24,NA,NA,"Not true",NA,NA,NA,"no","Yes","No",3.5,"Some college, tech","Neither parent attended college","Neither parent attended college"
2888,"yes","low-income",5,NA,"Just enough","Some","Male","No","At least one parent attended college","black","black",NA,"No","No",32,43,NA,NA,NA,NA,NA,NA,NA,"No","No",3.25,"Some college, tech","Neither parent attended college",NA
2889,"yes","high-income",2,8,"Some","Some","Male","No","At least one parent attended college","hispanic","black",NA,"No","No",37,39,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,"Neither parent attended college","Neither parent attended college"
2890,NA,"low-income",NA,NA,"Some","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",21,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2891,"yes","high-income",7,NA,"Not enough","Some","Female","No","Neither parent attended college","hispanic","white",NA,"No","No",19,29,NA,NA,"Not true","yes",NA,NA,NA,"Yes","Yes",3.25,"Some college, tech","Neither parent attended college","Neither parent attended college"
2892,"yes","low-income",6,4,"Just enough","Just enough","Female","No","At least one parent attended college","black","black",NA,"No","No",26,29,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",2.75,"Some college, tech","At least one parent attended college","Neither parent attended college"
2893,"yes","low-income",NA,NA,"Some","Some","Male","No","Neither parent attended college","black","black","Yes","No","No",18,15,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",3.33333333333333,"Some college, tech","At least one parent attended college","Neither parent attended college"
2894,"yes","high-income",9,3,"Some","Just enough","Female","No","At least one parent attended college","hispanic","hispanic","Yes","No","No",35,37,NA,NA,"Not true",NA,NA,NA,NA,"No","No",3.25,"Completed college/grad","Neither parent attended college","At least one parent attended college"
2895,"yes","high-income",8,9,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",39,37,NA,NA,NA,NA,NA,NA,NA,"No","No",3,"Some college, tech","At least one parent attended college",NA
2896,"no","low-income",3,2,"Not enough","Not enough","Female","No","At least one parent attended college","white","white",NA,"No","No",24,27,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",1.66666666666667,"Less than high school","Neither parent attended college",NA
2897,"yes","high-income",NA,4,"Some","Not enough","Female","No","At least one parent attended college","black","black","Yes","No","No",28,29,NA,NA,NA,NA,NA,NA,NA,"No","Yes",NA,NA,"Neither parent attended college","Neither parent attended college"
2898,"yes","high-income",6,6,"Some","Just enough","Male","No","At least one parent attended college","black","black","Yes","No","No",28,29,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",1.75,"Completed college/grad","Neither parent attended college","At least one parent attended college"
2899,"yes","low-income",NA,2,NA,"Just enough","Female","No","At least one parent attended college","black","black","No","No",NA,27,NA,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"No","Yes",3.33333333333333,"Completed high school","At least one parent attended college","Neither parent attended college"
2900,"yes","low-income",NA,5,"Not enough","Just enough","Female","Yes","Neither parent attended college","black","black","No","No","No",18,18,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3,NA,"At least one parent attended college","Neither parent attended college"
2901,"yes","high-income",5,4,"Not enough",NA,"Female","No","Neither parent attended college","black","black","Yes",NA,"No",24,26,"Very true or often true","Somewhat or sometimes true","Not true",NA,NA,NA,NA,"No","Yes",3,"Some college, tech",NA,"At least one parent attended college"
2902,"yes","low-income",NA,2,"Some","Some","Female","Yes","Neither parent attended college","black","black",NA,"No","No",23,20,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",2.75,"Less than high school","At least one parent attended college","Neither parent attended college"
2903,"yes","low-income",1,2,"Some","Just enough","Female","No","Neither parent attended college","black","black","Yes","No","No",23,22,NA,NA,NA,NA,"no",NA,NA,"Yes","Yes",3,"Completed high school","Neither parent attended college","At least one parent attended college"
2904,"no","high-income",8,8,"Some","Some","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",31,29,NA,NA,"Not true",NA,NA,"no","no","No","No",3.5,"Some college, tech","Neither parent attended college","At least one parent attended college"
2905,"yes","high-income",5,6,"Just enough","Just enough","Male","No","At least one parent attended college","black","black",NA,"No","No",22,21,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",2.75,"Completed high school","Neither parent attended college","Neither parent attended college"
2906,"yes","low-income",2,1,"Some",NA,"Female","No","Neither parent attended college","black","black","Yes",NA,"No",18,19,"Very true or often true","Very true or often true","Not true",NA,NA,NA,NA,"Yes","Yes",2,NA,"At least one parent attended college","Neither parent attended college"
2907,"yes","low-income",2,NA,"Not enough","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",27,35,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"Yes","No",2.5,"Some college, tech","Neither parent attended college","Neither parent attended college"
2908,"yes","high-income",8,8,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",41,34,NA,NA,"Not true",NA,NA,NA,NA,"No","No",2.33333333333333,"Completed high school","Neither parent attended college","At least one parent attended college"
2909,NA,"low-income",1,5,"Just enough","Not enough","Female","No","At least one parent attended college","black","black","Yes","No","No",24,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2910,"yes","low-income",4,3,"Just enough",NA,"Female","Yes","Neither parent attended college","black","black","Yes","No","No",18,21,NA,NA,NA,NA,NA,NA,NA,"No","Yes",3.75,"Some college, tech","Neither parent attended college","Neither parent attended college"
2911,NA,"high-income",8,7,"Just enough","Just enough","Female","No","Neither parent attended college",NA,NA,NA,"No","No",22,24,NA,NA,NA,NA,NA,NA,NA,"Yes","No",NA,NA,"At least one parent attended college","Neither parent attended college"
2912,"no","low-income",NA,NA,NA,"Not enough","Male","No","At least one parent attended college","black","black",NA,"No","No",33,35,NA,NA,"Not true",NA,NA,NA,NA,"No","No",NA,NA,"Neither parent attended college","Neither parent attended college"
2913,"no","high-income",8,8,"Some",NA,"Female","No","At least one parent attended college","hispanic","hispanic",NA,"No","Yes",26,26,"Not true","Very true or often true","Not true",NA,NA,NA,NA,"No","Yes",2.5,"Completed high school","Neither parent attended college","At least one parent attended college"
2914,"yes","low-income",NA,NA,NA,"Just enough","Male","No","Neither parent attended college","black","black","Yes","No",NA,16,NA,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",NA,NA,"Neither parent attended college","At least one parent attended college"
2915,"no","low-income",NA,2,"Just enough","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",31,31,NA,NA,"Not true",NA,NA,NA,NA,"No","No",4,"Completed high school","Neither parent attended college","Neither parent attended college"
2916,"yes","low-income",NA,2,"Some",NA,"Male","Yes","Neither parent attended college","hispanic","black",NA,NA,"No",17,18,"Somewhat or sometimes true","Very true or often true","Not true",NA,NA,NA,NA,NA,"Yes",3,NA,NA,"At least one parent attended college"
2917,"yes","high-income",6,NA,"Some","Just enough","Male","No","Neither parent attended college","black","black","No","No","No",29,27,NA,NA,"Not true",NA,"no",NA,NA,NA,"Yes",4,NA,NA,"Neither parent attended college"
2918,"yes","high-income",NA,NA,"Just enough",NA,"Male","No","Neither parent attended college","black","black","No",NA,"No",22,28,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",4,NA,NA,"At least one parent attended college"
2919,"yes","high-income",NA,8,"Some","Just enough","Male","No","Neither parent attended college","black","black","No","No","No",19,21,NA,NA,NA,NA,NA,NA,NA,"No","Yes",NA,NA,"Neither parent attended college","At least one parent attended college"
2920,NA,"low-income",NA,5,NA,"Not enough","Female","No","Neither parent attended college","black","black",NA,"No",NA,15,NA,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"Yes","Yes",2,"Less than high school","Neither parent attended college","Neither parent attended college"
2921,"yes","low-income",NA,2,"Some","Just enough","Female","Yes","Neither parent attended college","black","black","Yes","No","No",17,23,NA,NA,NA,"no",NA,NA,NA,"Yes","Yes",2,NA,"Neither parent attended college","At least one parent attended college"
2922,"yes","low-income",NA,1,"Just enough","Just enough","Male","No","At least one parent attended college","black","hispanic",NA,"No","No",20,18,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",2,"Completed high school","At least one parent attended college","Neither parent attended college"
2923,NA,"high-income",8,NA,"Not enough","Some","Female","No","Neither parent attended college","white",NA,NA,"No","No",25,41,NA,NA,NA,NA,"yes",NA,NA,"Yes","Yes",NA,NA,"Neither parent attended college","Neither parent attended college"
2924,"yes","low-income",2,2,"Some",NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",24,27,NA,NA,NA,NA,NA,NA,NA,"Yes","No",3.25,"Completed high school","Neither parent attended college","Neither parent attended college"
2925,"yes","low-income",5,NA,"Just enough","Just enough","Male","No","Neither parent attended college","black","black","Yes","No","No",20,25,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"Yes","No",1.75,"Some college, tech","Neither parent attended college","Neither parent attended college"
2926,"yes","low-income",2,5,"Some","Just enough","Female","No","Neither parent attended college","hispanic","black",NA,"Yes","No",22,25,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",NA,NA,"Neither parent attended college","Neither parent attended college"
2927,"yes","high-income",6,2,"Not enough","Some","Female","No","At least one parent attended college","black","black","Yes","No","No",32,30,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",2.25,"Some college, tech","At least one parent attended college","At least one parent attended college"
2928,"no","low-income",4,3,"Just enough","Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","Yes",20,24,NA,NA,"Not true",NA,NA,NA,"no","No","No",3.25,NA,"Neither parent attended college","Neither parent attended college"
2929,NA,"low-income",1,2,"Not enough","Just enough","Male","Yes","Neither parent attended college","black","black","Yes","No","No",21,19,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",1.33333333333333,NA,"Neither parent attended college","Neither parent attended college"
2930,NA,"low-income",NA,NA,NA,NA,"Male","No","Neither parent attended college","black","black",NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA
2931,"no","low-income",1,NA,"Not enough","Some","Male","No","Neither parent attended college","hispanic",NA,NA,"Yes","Yes",21,24,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,"Neither parent attended college"
2932,"yes","high-income",9,9,"Some","Some","Female","No","At least one parent attended college",NA,NA,NA,"No","No",39,40,NA,NA,NA,NA,NA,NA,NA,"Yes","No",4,"Some college, tech","Neither parent attended college","At least one parent attended college"
2933,"yes","high-income",5,5,"Not enough","Just enough","Male","No","At least one parent attended college",NA,NA,NA,"No","No",23,29,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"Yes","No",3.75,"Completed college/grad","Neither parent attended college","At least one parent attended college"
2934,NA,"low-income",NA,NA,NA,"Just enough","Female","No","At least one parent attended college","black",NA,NA,"No",NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,"Neither parent attended college"
2935,"yes","low-income",NA,1,NA,"Just enough","Female","No","Neither parent attended college","black","black","No","No",NA,21,NA,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"Yes","No",2.5,"Completed high school","Neither parent attended college","Neither parent attended college"
2936,"yes","high-income",7,7,"Some",NA,"Male","No","At least one parent attended college","white",NA,NA,"No","No",32,34,"Somewhat or sometimes true","Very true or often true","Not true",NA,NA,NA,NA,"No","Yes",3.5,NA,"At least one parent attended college","At least one parent attended college"
2937,"no","low-income",6,6,"Some","Some","Male","No","Neither parent attended college","black","black",NA,"No","No",22,21,NA,NA,NA,NA,NA,NA,NA,"No","Yes",3.5,"Completed high school","At least one parent attended college","Neither parent attended college"
2938,"yes","low-income",NA,NA,NA,"Just enough","Male","No","Neither parent attended college","black","black",NA,"No",NA,20,NA,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",1.25,NA,"Neither parent attended college","At least one parent attended college"
2939,"yes","high-income",7,7,"Some","Some","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",23,26,NA,NA,"Not true",NA,NA,NA,NA,"No","No",3.75,"Completed high school","Neither parent attended college",NA
2940,"yes","high-income",8,8,"Some",NA,"Female","No","At least one parent attended college","white","white",NA,"No","No",36,34,"Somewhat or sometimes true","Very true or often true","Not true",NA,NA,NA,NA,"No","Yes",3.75,"Completed college/grad","Neither parent attended college","At least one parent attended college"
2941,"yes","high-income",NA,8,"Some","Some","Female","No","At least one parent attended college","hispanic","black","Yes","No","No",21,21,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",2.75,"Some college, tech","At least one parent attended college","At least one parent attended college"
2942,"yes","low-income",6,2,"Some","Just enough","Female","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",19,22,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",3,"Completed college/grad",NA,"Neither parent attended college"
2943,NA,"high-income",NA,NA,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",28,32,NA,NA,NA,NA,NA,NA,NA,"Yes","No",3,"Completed high school","Neither parent attended college","At least one parent attended college"
2944,"no","high-income",4,NA,"Just enough","Some","Male","No","Neither parent attended college","black","black","Yes","No","No",21,28,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",3,"Completed high school","Neither parent attended college","Neither parent attended college"
2945,NA,"low-income",6,5,"Not enough","Just enough","Female","No","Neither parent attended college","white","white",NA,"No","No",25,25,NA,NA,"Not true",NA,NA,NA,NA,"Yes","No",NA,"Completed college/grad","Neither parent attended college","At least one parent attended college"
2946,"yes","high-income",8,8,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",33,33,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",4,"Some college, tech","At least one parent attended college","At least one parent attended college"
2947,"yes","low-income",NA,NA,"Just enough","Not enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",19,20,NA,NA,"Not true",NA,NA,NA,NA,"Yes","No",2.5,"Completed high school","Neither parent attended college","Neither parent attended college"
2948,"no","low-income",5,3,"Just enough","Just enough","Male","No","Neither parent attended college","white","white",NA,"No","No",20,19,NA,NA,"Not true",NA,NA,"no","no","Yes","Yes",NA,"Completed high school",NA,"Neither parent attended college"
2949,"yes","high-income",8,8,"Not enough","Just enough","Female","No","At least one parent attended college",NA,NA,NA,"No","No",40,41,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"Neither parent attended college","Neither parent attended college"
2950,"yes","high-income",NA,NA,"Some","Some","Male","No","At least one parent attended college","black","black","Yes","No","No",23,25,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",NA,NA,"At least one parent attended college","At least one parent attended college"
2951,"yes","high-income",7,NA,"Just enough",NA,"Male","No","Neither parent attended college","white","white",NA,"No","No",19,30,"Very true or often true","Very true or often true","Not true",NA,NA,NA,NA,"Yes","Yes",2.75,"Some college, tech","Neither parent attended college","At least one parent attended college"
2952,NA,"low-income",NA,4,NA,"Some","Female","No","Neither parent attended college","white","hispanic",NA,"No",NA,25,NA,NA,NA,"Not true",NA,NA,NA,NA,"Yes","No",3.33333333333333,"Some college, tech","Neither parent attended college","Neither parent attended college"
2953,"yes","high-income",6,7,"Some","Just enough","Male","No","At least one parent attended college","black","black",NA,"No","No",41,42,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",4,"Completed high school","Neither parent attended college","Neither parent attended college"
2954,"yes","high-income",NA,2,"Some","Some","Male","No","Neither parent attended college","black","black","No","No","No",23,21,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",NA,NA,"Neither parent attended college","Neither parent attended college"
2955,"yes","low-income",5,6,"Just enough","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",28,25,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3.25,NA,"Neither parent attended college","Neither parent attended college"
2956,"yes","low-income",NA,NA,"Just enough","Just enough","Male","No","At least one parent attended college",NA,"black",NA,"No","No",32,28,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",1.75,"Completed high school","At least one parent attended college","At least one parent attended college"
2957,"yes","high-income",6,7,"Just enough","Some","Male","No","At least one parent attended college","black","black",NA,"No","No",22,28,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3,"Some college, tech","At least one parent attended college","At least one parent attended college"
2958,"yes","high-income",6,NA,"Some","Not enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",22,23,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",NA,NA,"At least one parent attended college","Neither parent attended college"
2959,"yes","low-income",5,5,"Some","Just enough","Female","No","At least one parent attended college","hispanic","hispanic",NA,"Yes","Yes",33,41,NA,NA,NA,NA,NA,NA,NA,"Yes","No",3.5,"Some college, tech","Neither parent attended college","Neither parent attended college"
2960,"no","low-income",4,2,"Some","Just enough","Female","No","Neither parent attended college","black","black",NA,"No","No",25,25,NA,NA,"Not true","yes",NA,NA,"no","Yes","Yes",2.5,"Completed high school","Neither parent attended college","Neither parent attended college"
2961,"yes","low-income",5,NA,"Some","Some","Male","No","Neither parent attended college","black","black","Yes","No","No",23,23,NA,NA,"Very true or often true",NA,NA,NA,NA,"Yes","Yes",3,"Some college, tech","At least one parent attended college",NA
2962,"yes","low-income",NA,2,NA,NA,"Female","No","Neither parent attended college","black","black",NA,NA,NA,17,NA,"Somewhat or sometimes true","Very true or often true","Somewhat or sometimes true","no",NA,NA,NA,"Yes","Yes",NA,NA,"At least one parent attended college","Neither parent attended college"
2963,"yes","low-income",2,3,"Just enough","Just enough","Female","No","At least one parent attended college","hispanic","hispanic",NA,"No","Yes",21,29,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"No","No",3.5,"Some college, tech","Neither parent attended college","Neither parent attended college"
2964,NA,"low-income",NA,NA,NA,NA,"Female",NA,"Neither parent attended college",NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"Less than high school",NA,NA
2965,NA,"low-income",7,3,"Just enough","Not enough","Female","No","Neither parent attended college","black",NA,NA,"No","No",27,34,NA,NA,NA,NA,NA,NA,NA,"Yes","No",NA,NA,"Neither parent attended college",NA
2966,NA,"low-income",6,2,"Some","Just enough","Female","No","At least one parent attended college","black","black",NA,"No","No",19,25,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"No","No",NA,NA,"Neither parent attended college","Neither parent attended college"
