"idnum","father_mothly_pretax_inc_w1","mother_mothly_pretax_inc_w1","father_mothly_saved_inc_w1","mother_mothly_saved_inc_w1","child_gender_w1","father_in_jail_w1","parents_edustatus_w1","cm1ethrace_w1","cf1ethrace_w1","marry_w1","cm1span_w1","cf1span_w1","cm1age_w1","cf1age_w1"
"2574",NA,6,NA,NA,"Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes",NA,26,NA
"2575",3,1,"Some","Just enough","Female","No","Neither parent attended college","black","black",NA,"No","No",29,35
"2576",NA,3,NA,"Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No",NA,20,NA
"2577",NA,4,NA,"Just enough","Female","No","Neither parent attended college","hispanic",NA,NA,"No",NA,26,NA
"2578",NA,7,NA,"Some","Male","No","At least one parent attended college","hispanic","hispanic","No","No",NA,24,NA
"2579",NA,1,"Not enough","Not enough","Male","No","At least one parent attended college","white","black",NA,"No","No",24,25
"2580",4,6,"Just enough","Some","Female","No","Neither parent attended college","white","black","No","No","No",22,26
"2581",NA,NA,NA,NA,"Female","No","Neither parent attended college","hispanic","hispanic","No",NA,NA,25,NA
"2582",8,8,"Just enough","Some","Male","No","At least one parent attended college","hispanic","black",NA,"No","No",24,26
"2583",8,4,"Just enough","Not enough","Female","Yes","Neither parent attended college","black","black","Yes","No","No",18,20
"2584",NA,6,"Some","Just enough","Female","No","At least one parent attended college","black","hispanic",NA,"No","No",29,29
"2585",NA,2,NA,"Not enough","Male","No","Neither parent attended college","black","black",NA,"No",NA,19,NA
"2586",NA,5,NA,"Just enough","Female","No","At least one parent attended college","white","white",NA,"No",NA,23,NA
"2587",7,7,"Just enough","Some","Female","No","At least one parent attended college","hispanic","white",NA,"No","No",20,26
"2588",NA,2,"Just enough","Some","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",20,20
"2589",2,2,"Some","Just enough","Female","No","At least one parent attended college","black","black","Yes","No","No",21,26
"2590",1,1,"Not enough","Not enough","Female","No","At least one parent attended college","black","black","No","No","No",41,45
"2591",NA,5,NA,NA,"Male","No","At least one parent attended college","black","white",NA,"No",NA,26,NA
"2592",2,NA,"Not enough","Some","Male","No","Neither parent attended college","white","white","Yes","No","No",19,24
"2593",4,1,"Just enough","Not enough","Female","No","Neither parent attended college","black","black",NA,"No","No",24,22
"2594",8,7,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",31,43
"2595",4,6,"Not enough","Just enough","Female","No","At least one parent attended college","black","black","No","No","No",23,24
"2596",NA,2,NA,"Just enough","Female","Yes","Neither parent attended college","black","black","Yes","No",NA,26,NA
"2597",5,5,"Some","Some","Male","No","At least one parent attended college","black","black",NA,"No","No",21,31
"2598",6,4,"Some","Just enough","Male","No","Neither parent attended college","white","white",NA,"No","No",20,31
"2599",NA,1,"Just enough","Just enough","Female","No","Neither parent attended college","black","black","No","No","No",30,33
"2600",8,8,"Just enough","Just enough","Male","No","At least one parent attended college","white","white",NA,"No","No",31,31
"2601",9,6,"Not enough","Just enough","Male","No","Neither parent attended college","white","white",NA,"No","No",18,18
"2602",NA,NA,"Some","Some","Female","No","Neither parent attended college","black","hispanic","Yes","No","No",20,21
"2603",3,6,"Some",NA,"Male","No","At least one parent attended college","black","black","Yes","No","No",25,24
"2604",7,NA,"Just enough","Just enough","Male","No","At least one parent attended college","black","black",NA,"No","No",32,31
"2605",2,6,"Just enough","Not enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",19,24
"2606",7,7,"Just enough","Just enough","Male","No","At least one parent attended college","white","white",NA,"No","No",40,49
"2607",7,8,"Some","Some","Female","No","At least one parent attended college",NA,NA,NA,"No","No",29,30
"2608",5,NA,"Just enough",NA,"Male","No","At least one parent attended college",NA,"white",NA,NA,"No",31,33
"2609",9,8,"Some","Just enough","Male","No","At least one parent attended college","white","white",NA,"No","No",31,30
"2610",2,7,"Just enough","Just enough","Female","No","Neither parent attended college","black","hispanic",NA,"No","No",20,22
"2611",6,4,"Just enough",NA,"Female","No","At least one parent attended college","white","white",NA,"No","No",22,23
"2612",NA,7,NA,"Just enough","Male","No","Neither parent attended college","white","white",NA,"No",NA,17,NA
"2613",NA,2,NA,"Just enough","Female","No","At least one parent attended college","black","black",NA,"No",NA,24,NA
"2614",7,4,"Some","Some","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",21,22
"2615",NA,6,NA,"Some","Male","No","At least one parent attended college","black","black","No","No",NA,23,NA
"2616",8,NA,"Some",NA,"Male","No","At least one parent attended college","hispanic","hispanic",NA,NA,"No",23,18
"2617",NA,1,NA,"Just enough","Female","Yes","Neither parent attended college","black","black","Yes","No",NA,18,NA
"2618",NA,6,NA,"Some","Male","No","Neither parent attended college","black","black",NA,"No",NA,28,NA
"2619",8,9,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",38,44
"2620",NA,1,NA,"Just enough","Male","No","Neither parent attended college","black","black","No","No",NA,32,NA
"2621",7,9,"Some","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",27,26
"2622",NA,NA,"Just enough",NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",22,24
"2623",9,NA,"Some",NA,"Male","No","At least one parent attended college",NA,NA,NA,NA,"No",34,32
"2624",7,7,"Some","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",27,25
"2625",2,4,"Not enough","Just enough","Male","No","Neither parent attended college","white","white",NA,"No","No",22,18
"2626",2,4,"Just enough","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",35,35
"2627",7,3,"Some","Some","Male","No","At least one parent attended college","white","black","No","No","No",23,29
"2628",NA,2,"Just enough","Some","Male","No","Neither parent attended college","black","black",NA,"No","No",29,24
"2629",7,6,"Some","Some","Female","No","At least one parent attended college","white","white","No","No","No",27,37
"2630",NA,NA,"Some","Just enough","Male","No","Neither parent attended college","black","black","Yes","No","Yes",24,31
"2631",7,7,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",35,40
"2632",7,6,"Not enough","Not enough","Female","No","At least one parent attended college","white","white",NA,"No","No",25,26
"2633",1,4,"Some","Just enough","Male","No","At least one parent attended college","white","white",NA,"No","No",24,27
"2634",NA,1,"Just enough","Not enough","Female","No","Neither parent attended college","black","black","Yes","No","No",20,21
"2635",1,4,NA,"Just enough","Male","Yes","At least one parent attended college","black","black","No","No",NA,27,38
"2636",NA,7,"Some","Just enough","Female","No","Neither parent attended college","hispanic","hispanic","Yes","No","No",18,18
"2637",7,2,"Some","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",35,42
"2638",5,3,"Just enough","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",24,27
"2639",9,9,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",40,40
"2640",8,9,"Just enough","Just enough","Male","No","At least one parent attended college","white","white","Yes","No","No",18,21
"2641",9,9,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",28,28
"2642",3,3,"Just enough","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",18,27
"2643",NA,7,NA,"Just enough","Male","No","At least one parent attended college","white","white",NA,"No",NA,41,NA
"2644",9,8,"Some","Just enough","Female","No","At least one parent attended college","white","white",NA,"No","No",41,39
"2645",NA,9,NA,"Just enough","Male","No","At least one parent attended college","black","hispanic",NA,"No",NA,22,NA
"2646",NA,1,NA,NA,"Female","No","Neither parent attended college","black","black",NA,NA,NA,22,NA
"2647",NA,7,NA,"Some","Male","No","At least one parent attended college","black","black",NA,"No",NA,25,NA
"2648",NA,NA,"Just enough","Some","Male","No","Neither parent attended college","white","hispanic",NA,"No","No",25,26
"2649",NA,NA,"Just enough","Not enough","Male","No","At least one parent attended college","black","black",NA,"No","No",21,23
"2650",NA,1,"Some",NA,"Male","No","Neither parent attended college","black","black",NA,"No","No",23,22
"2651",1,NA,"Some",NA,"Male","No","Neither parent attended college","hispanic","hispanic",NA,NA,"No",19,18
"2652",9,9,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",30,30
"2653",NA,NA,"Some","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",26,26
"2654",2,4,"Just enough","Just enough","Male","No","At least one parent attended college","black","black",NA,"No","No",22,23
"2655",3,1,"Not enough","Some","Male","No","Neither parent attended college","black","black","No","No","No",23,21
"2656",NA,6,"Just enough","Some","Female","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",20,17
"2657",2,8,"Some",NA,"Male","No","Neither parent attended college","black","black","No","No","No",18,22
"2658",NA,NA,"Not enough","Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","No",18,24
"2659",NA,NA,NA,"Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes",NA,18,NA
"2660",NA,NA,NA,"Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No",NA,18,NA
"2661",NA,7,NA,"Just enough","Male","No","At least one parent attended college","black","black",NA,"No",NA,25,NA
"2662",2,6,"Just enough","Just enough","Female","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",23,21
"2663",5,NA,"Just enough","Just enough","Male","No","Neither parent attended college","black","white","Yes","No","No",22,23
"2664",6,4,"Some","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",23,24
"2665",NA,2,"Just enough","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",36,21
"2666",7,6,"Some","Some","Male","No","At least one parent attended college","black","black",NA,"No","No",29,19
"2667",8,8,"Just enough","Some","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",26,28
"2668",NA,2,NA,"Not enough","Male","No","At least one parent attended college","hispanic","hispanic",NA,"Yes",NA,31,NA
"2669",NA,2,"Not enough","Not enough","Male","No","Neither parent attended college","black","black",NA,"No","No",33,38
"2670",NA,NA,"Some","Just enough","Male","No","Neither parent attended college","white","white",NA,"No",NA,18,24
"2671",NA,2,"Just enough","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",18,18
"2672",9,8,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",27,30
"2673",6,8,"Just enough","Some","Female","No","Neither parent attended college","white","white",NA,"No","No",18,19
"2674",6,5,"Some","Just enough","Male","No","Neither parent attended college","black","black","Yes","No","No",21,27
"2675",9,9,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",32,37
"2676",1,1,"Just enough","Just enough","Female","Yes","Neither parent attended college","white","black","Yes","No","No",26,38
"2677",NA,6,"Not enough","Not enough","Female","No","At least one parent attended college","black","black",NA,"No","No",43,48
"2678",NA,7,"Some","Some","Male","No","Neither parent attended college","black","black","Yes","No","No",19,22
"2679",NA,9,NA,"Some","Male",NA,"At least one parent attended college","white",NA,NA,NA,NA,38,NA
"2680",NA,5,NA,"Just enough","Female","No","At least one parent attended college","hispanic","hispanic",NA,"No",NA,35,NA
"2681",1,2,"Some","Not enough","Female","Yes","Neither parent attended college","black","black","Yes","No","No",17,17
"2682",4,1,"Some","Just enough","Female","No","Neither parent attended college","black","black",NA,"No","No",22,23
"2683",NA,1,NA,"Some","Male","No","Neither parent attended college","black","black",NA,"No",NA,22,NA
"2684",5,4,"Just enough",NA,"Female","No","Neither parent attended college","black","black",NA,NA,"No",28,30
"2685",5,NA,"Some","Just enough","Female","No","Neither parent attended college","hispanic","black",NA,"No","No",18,19
"2686",7,NA,"Just enough","Not enough","Male","Yes","Neither parent attended college","hispanic","hispanic","Yes","No","No",22,23
"2687",NA,NA,NA,NA,"Male","No","Neither parent attended college","hispanic","hispanic",NA,"No",NA,20,NA
"2688",7,6,"Some","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",24,28
"2689",8,6,"Just enough","Just enough","Female","No","At least one parent attended college","white","white",NA,"No","No",27,38
"2690",3,NA,"Just enough","Not enough","Female","No","Neither parent attended college","black","black","Yes","No","No",40,50
"2691",7,6,"Just enough","Some","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",26,26
"2692",NA,NA,"Just enough","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",20,35
"2693",8,7,"Some",NA,"Male","No","At least one parent attended college","white","black",NA,NA,"No",28,30
"2694",NA,1,"Just enough","Just enough","Male","No","Neither parent attended college","black","black","Yes","No","No",29,25
"2695",NA,NA,"Some","Just enough","Female","No","Neither parent attended college","white","white",NA,"No","No",20,26
"2696",6,1,"Just enough","Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",22,26
"2697",7,NA,"Some","Some","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",19,20
"2698",8,8,"Some","Some","Male","No","At least one parent attended college","hispanic","black",NA,"No","No",34,32
"2699",NA,NA,NA,"Some","Male","No","At least one parent attended college","black","black",NA,"No",NA,20,NA
"2700",9,9,"Some","Some","Male","No","At least one parent attended college",NA,NA,NA,"No","No",32,35
"2701",3,6,"Some",NA,"Male","No","At least one parent attended college","black","black","No","No","No",19,24
"2702",4,2,"Just enough","Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",23,41
"2703",7,5,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",19,22
"2704",4,4,"Some",NA,"Female","No","Neither parent attended college","black","black",NA,NA,"No",24,23
"2705",NA,3,NA,"Some","Male","No","At least one parent attended college","black","white",NA,"No",NA,28,NA
"2706",3,2,"Just enough","Not enough","Male","Yes","Neither parent attended college","black","black","Yes","No","No",18,19
"2707",7,1,"Just enough","Just enough","Female","Yes","Neither parent attended college","white","white",NA,"No","No",25,35
"2708",NA,1,NA,"Just enough","Male","No","Neither parent attended college","black","black","Yes","No","No",18,25
"2709",NA,NA,"Not enough","Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",18,22
"2710",8,NA,"Some","Not enough","Male","No","At least one parent attended college","hispanic","hispanic","Yes","No","No",17,20
"2711",4,6,"Just enough","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",19,24
"2712",8,NA,"Some","Some","Female","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",27,27
"2713",6,6,"Just enough","Just enough","Female","No","At least one parent attended college","white","hispanic",NA,"No","No",20,23
"2714",6,5,"Just enough","Just enough","Female","No","At least one parent attended college",NA,"hispanic",NA,"No","No",27,28
"2715",3,6,"Just enough",NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,NA,"Yes",24,22
"2716",NA,NA,NA,"Just enough","Female","No","Neither parent attended college","black","black",NA,"No",NA,33,NA
"2717",4,2,"Just enough","Not enough","Female","No","Neither parent attended college","black","black","Yes","No","No",32,33
"2718",4,NA,"Just enough","Some","Male","No","Neither parent attended college","black","black","No","No","No",20,20
"2719",2,6,"Not enough","Some","Male","No","At least one parent attended college",NA,"black","No","No","No",25,24
"2720",3,NA,"Some",NA,"Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",20,22
"2721",NA,NA,"Some","Just enough","Female","No","At least one parent attended college","hispanic","hispanic","Yes","No","No",31,32
"2722",5,4,"Just enough","Just enough","Female","No","Neither parent attended college","white","hispanic",NA,"No","No",20,28
"2723",9,9,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",36,35
"2724",5,1,"Just enough","Just enough","Male","No","At least one parent attended college",NA,NA,NA,"No","No",20,26
"2725",1,6,"Some","Some","Female","Yes","Neither parent attended college","black","black","No","No","No",22,21
"2726",8,3,"Some","Just enough","Female","No","Neither parent attended college","black","black",NA,"No","No",26,19
"2727",1,2,"Just enough",NA,"Male","No","Neither parent attended college","black","black",NA,NA,"No",18,21
"2728",3,3,"Just enough","Just enough","Female","No","At least one parent attended college","white","white",NA,"No","No",27,42
"2729",8,8,"Some","Some","Female","No","At least one parent attended college","black","black","No","No","No",24,33
"2730",NA,NA,NA,"Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes",NA,26,NA
"2731",NA,6,NA,"Some","Male","No","Neither parent attended college","black","black",NA,"No",NA,22,NA
"2732",3,1,"Just enough","Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",19,20
"2733",9,7,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",40,37
"2734",5,5,"Some","Some","Male","No","Neither parent attended college","black",NA,NA,"No","No",18,21
"2735",7,8,"Some","Some","Male","No","At least one parent attended college","black","black",NA,"No","No",29,29
"2736",NA,NA,"Some","Some","Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",19,22
"2737",7,NA,"Some",NA,"Female","No","Neither parent attended college","black","black",NA,NA,"No",23,23
"2738",8,NA,"Some","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",36,34
"2739",2,NA,"Some","Not enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",31,29
"2740",4,2,"Just enough","Some","Female","No","Neither parent attended college","white","white",NA,"No","No",23,28
"2741",NA,6,"Not enough",NA,"Female","No","At least one parent attended college","white","white",NA,"No","No",36,41
"2742",4,1,"Not enough","Not enough","Female","No","Neither parent attended college","black","black","Yes","No","No",18,19
"2743",NA,4,"Just enough","Just enough","Male","No","Neither parent attended college","black","black","No","No","No",18,17
"2744",9,9,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",43,49
"2745",NA,4,"Some","Just enough","Female","No","At least one parent attended college","black","black","No","No","No",20,20
"2746",9,9,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",36,39
"2747",NA,6,"Not enough",NA,"Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",30,27
"2748",7,1,"Some","Just enough","Male","No","Neither parent attended college","hispanic",NA,"No","No","No",17,23
"2749",5,4,"Not enough",NA,"Female","No","At least one parent attended college","black","black",NA,"No","No",21,34
"2750",3,3,"Just enough","Just enough","Male","No","At least one parent attended college","black","black",NA,"No","No",22,25
"2751",8,8,"Some","Some","Male","No","At least one parent attended college","black","black",NA,"No","No",32,37
"2752",NA,1,"Not enough","Just enough","Male","No","At least one parent attended college","black","black",NA,"No","No",40,36
"2753",4,NA,"Just enough","Some","Male","No","Neither parent attended college","white","white",NA,"No","No",23,28
"2754",9,2,"Some","Not enough","Male","No","Neither parent attended college",NA,NA,NA,"No","No",18,20
"2755",6,5,"Just enough","Some","Female","No","At least one parent attended college","black","black","No","No","No",23,28
"2756",NA,1,NA,"Not enough","Female","No","At least one parent attended college","black","black",NA,"No",NA,22,NA
"2757",6,6,"Just enough","Just enough","Male","No","At least one parent attended college","white","white",NA,"No","No",22,24
"2758",NA,7,NA,NA,"Female","No","Neither parent attended college","hispanic","hispanic","Yes",NA,NA,36,NA
"2759",NA,5,"Some","Some","Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",20,23
"2760",7,7,"Some","Just enough","Male","No","At least one parent attended college","hispanic","hispanic","Yes","No","No",20,23
"2761",6,1,"Some","Some","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",25,24
"2762",NA,NA,NA,NA,"Male","No","Neither parent attended college","black","black",NA,"No",NA,34,NA
"2763",NA,7,NA,"Some","Female","No","At least one parent attended college","black","black",NA,"No",NA,25,NA
"2764",4,6,"Some","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",33,36
"2765",NA,8,"Just enough","Just enough","Female","No","Neither parent attended college","black",NA,NA,"No","No",18,21
"2766",NA,8,"Some","Some","Male","No","At least one parent attended college","black","black","Yes","No","No",19,21
"2767",4,NA,"Some",NA,"Female","No","At least one parent attended college","black","black","Yes",NA,"No",22,22
"2768",6,6,"Some","Just enough","Female","No","At least one parent attended college","black","black",NA,"No","No",22,37
"2769",6,4,"Some",NA,"Male","No","Neither parent attended college","black","black",NA,NA,"No",20,26
"2770",9,6,"Some","Just enough","Male","No","Neither parent attended college","white",NA,"Yes","No","No",18,21
"2771",NA,3,"Not enough","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",18,28
"2772",5,5,"Not enough","Just enough","Female","No","At least one parent attended college","black","black",NA,"No","No",26,26
"2773",NA,2,NA,"Just enough","Male","No","Neither parent attended college","black","black","No","No",NA,19,NA
"2774",6,4,"Some","Some","Male","No","At least one parent attended college","black","black","Yes","No","No",26,30
"2775",NA,2,NA,NA,"Male",NA,"At least one parent attended college","black","black",NA,"No",NA,24,NA
"2776",8,8,"Some","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",36,31
"2777",1,NA,"Just enough",NA,"Female","No","Neither parent attended college","black","black",NA,"No","No",22,26
"2778",4,4,"Some","Just enough","Female","No","At least one parent attended college","black","black",NA,"No","No",21,20
"2779",7,3,"Just enough","Just enough","Female","No","Neither parent attended college","white","white",NA,"No","No",24,25
"2780",2,1,"Some","Not enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",23,27
"2781",6,NA,"Some","Some","Male","No","At least one parent attended college","black","black","Yes","No","No",20,23
"2782",NA,NA,"Some","Just enough","Female","No","Neither parent attended college","hispanic","hispanic","Yes","No","No",22,23
"2783",3,5,"Just enough","Not enough","Female","No","Neither parent attended college","white","white",NA,"No","No",19,21
"2784",6,6,"Just enough",NA,"Male","No","At least one parent attended college","hispanic","black",NA,NA,"No",33,33
"2785",6,2,"Not enough","Not enough","Male","No","Neither parent attended college","black","black",NA,"No","No",19,19
"2786",5,6,"Some","Some","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","Yes",28,27
"2787",4,5,"Just enough","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",29,27
"2788",8,NA,"Some","Not enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",20,21
"2789",8,NA,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",29,30
"2790",4,2,"Some","Just enough","Female","No","Neither parent attended college","black","black","No","No","No",19,16
"2791",NA,NA,"Just enough","Not enough","Male","No","Neither parent attended college","black","black","Yes","No","No",38,44
"2792",NA,5,"Some",NA,"Female","No","At least one parent attended college","black","black","Yes",NA,"No",34,30
"2793",8,7,"Just enough","Not enough","Male","No","At least one parent attended college","white","white",NA,"No","No",22,25
"2794",7,NA,"Some","Some","Male","No","Neither parent attended college","black","black",NA,"No","No",22,25
"2795",NA,1,"Just enough","Some","Male","No","Neither parent attended college","black","black","No","No","No",23,25
"2796",NA,NA,"Some","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",20,20
"2797",7,NA,"Some","Just enough","Male","No","Neither parent attended college","black","black","Yes",NA,"No",32,36
"2798",7,8,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",34,35
"2799",4,3,"Just enough",NA,"Male","No","At least one parent attended college","hispanic","hispanic",NA,NA,"Yes",19,21
"2800",4,3,"Just enough","Some","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",21,21
"2801",7,7,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",34,36
"2802",5,5,"Just enough","Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",28,35
"2803",7,NA,"Some",NA,"Male","No","Neither parent attended college","hispanic","hispanic",NA,NA,"No",22,30
"2804",2,NA,"Some",NA,"Female","No","Neither parent attended college","black","black","Yes",NA,"No",23,25
"2805",2,3,"Just enough","Just enough","Female","No","Neither parent attended college","black","black",NA,"No","No",19,21
"2806",NA,8,"Some","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",31,26
"2807",NA,7,"Just enough","Just enough","Female","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",22,26
"2808",9,9,"Just enough","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",19,19
"2809",NA,1,"Just enough","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",23,25
"2810",2,7,"Just enough","Some","Female","No","Neither parent attended college","white","white","Yes","No","No",19,18
"2811",2,5,"Some","Just enough","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",22,24
"2812",8,NA,"Just enough","Just enough","Female","No","At least one parent attended college","hispanic","hispanic",NA,"No","Yes",21,34
"2813",8,7,"Just enough","Some","Female","No","At least one parent attended college","white","hispanic",NA,"No","No",29,35
"2814",NA,NA,NA,"Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes",NA,26,NA
"2815",8,8,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",33,34
"2816",8,9,"Not enough","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",30,33
"2817",6,5,"Just enough","Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",26,26
"2818",NA,6,"Just enough","Some","Male","No","Neither parent attended college","black","black","Yes","No","No",19,21
"2819",1,NA,"Just enough",NA,"Male","No","Neither parent attended college","white","hispanic",NA,"No","No",18,21
"2820",NA,NA,"Just enough","Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",28,31
"2821",NA,3,NA,"Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No",NA,29,NA
"2822",NA,NA,NA,"Some","Male","No","Neither parent attended college","black","black",NA,"No",NA,24,NA
"2823",3,4,"Just enough","Just enough","Female","No","At least one parent attended college","black","black",NA,"No","No",29,31
"2824",6,6,"Just enough","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",24,31
"2825",9,9,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",34,36
"2826",NA,2,"Some","Just enough","Female","Yes","Neither parent attended college","black","black","Yes","No","No",34,35
"2827",NA,NA,NA,"Just enough","Female","No","Neither parent attended college","black","black",NA,"No",NA,19,NA
"2828",NA,5,"Just enough","Some","Female","Yes","Neither parent attended college","black","black","Yes","No","No",21,23
"2829",5,3,"Some","Some","Male","No","Neither parent attended college",NA,"black",NA,"No","No",25,30
"2830",NA,NA,"Some","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",18,21
"2831",5,NA,"Just enough","Some","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",19,24
"2832",4,2,"Not enough","Not enough","Male","No","At least one parent attended college","black","black","No","No","No",19,25
"2833",4,2,"Just enough","Just enough","Female","No","At least one parent attended college","hispanic","hispanic",NA,"Yes","No",20,22
"2834",6,5,"Not enough","Not enough","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",32,32
"2835",NA,1,"Not enough","Not enough","Female","No","Neither parent attended college","hispanic","hispanic","No","No","No",24,18
"2836",9,NA,"Just enough","Just enough","Female","No","Neither parent attended college","black","black","Yes","No","No",21,22
"2837",1,2,"Some","Just enough","Male","No","Neither parent attended college","black","black","Yes","No","No",21,21
"2838",9,8,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",30,36
"2839",NA,1,NA,"Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No",NA,24,NA
"2840",NA,1,NA,"Not enough","Female","No","Neither parent attended college","black",NA,"Yes","No",NA,18,NA
"2841",NA,1,NA,"Just enough","Female","No","Neither parent attended college","black","black","Yes","No",NA,24,NA
"2842",NA,7,NA,"Some","Female","No","At least one parent attended college","white","white",NA,"No",NA,29,NA
"2843",3,NA,"Not enough",NA,"Female","No","At least one parent attended college","white",NA,NA,NA,"No",21,25
"2844",NA,7,NA,"Some","Male","No","At least one parent attended college","white","white",NA,"No","No",37,42
"2845",8,8,"Some","Just enough","Male","No","At least one parent attended college",NA,"white",NA,"No","No",31,31
"2846",NA,4,"Some","Just enough","Female","No","Neither parent attended college","black","black",NA,"No","No",21,21
"2847",NA,6,NA,"Some","Male","No","At least one parent attended college","hispanic","white","Yes","No",NA,25,NA
"2848",7,NA,"Just enough","Just enough","Female","No","At least one parent attended college","black","white",NA,"No","No",25,37
"2849",NA,2,NA,"Not enough","Female","No","At least one parent attended college","hispanic","hispanic",NA,"No",NA,28,NA
