"idnum","cm1edu","cf1edu","cm1povca","cf1povca","povstatus","edustatus","f4b7a","m4b7a","child_attend_kindergarten"
"2682",2,2,1,1,"low-income","Neither parent attended college",2,1,"no"
"2683",1,1,1,-9,"low-income","Neither parent attended college",-9,-9,NA
"2684",1,2,2,2,"low-income","Neither parent attended college",-6,-5,NA
"2685",1,1,3,3,"low-income","Neither parent attended college",-6,1,"yes"
"2686",1,1,3,3,"low-income","Neither parent attended college",-6,-9,NA
"2687",2,1,3,-9,"low-income","Neither parent attended college",-9,-6,NA
"2688",2,3,4,4,"high-income","At least one parent attended college",-6,-6,NA
"2689",3,3,4,4,"high-income","At least one parent attended college",-6,-6,NA
"2690",1,1,1,3,"low-income","Neither parent attended college",-6,2,"no"
"2691",3,3,4,4,"high-income","At least one parent attended college",-9,1,"yes"
"2692",2,2,3,3,"low-income","Neither parent attended college",-6,-6,NA
"2693",2,3,5,5,"high-income","At least one parent attended college",-6,-6,NA
"2694",2,1,1,4,"high-income","Neither parent attended college",-6,-6,NA
"2695",1,2,3,3,"low-income","Neither parent attended college",-9,-6,NA
"2696",2,1,1,1,"low-income","Neither parent attended college",-9,-9,NA
"2697",2,1,3,3,"low-income","Neither parent attended college",-6,-6,NA
"2698",4,3,5,5,"high-income","At least one parent attended college",1,-6,"yes"
"2699",3,2,3,-9,"low-income","At least one parent attended college",-9,-9,NA
"2700",4,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"2701",3,2,4,3,"high-income","At least one parent attended college",-6,2,"no"
"2702",1,2,2,2,"low-income","Neither parent attended college",1,-6,"yes"
"2703",3,3,3,3,"low-income","At least one parent attended college",-6,-6,NA
"2704",2,2,3,3,"low-income","Neither parent attended college",-9,-5,NA
"2705",3,1,3,-9,"low-income","At least one parent attended college",-9,1,"yes"
"2706",1,1,2,2,"low-income","Neither parent attended college",1,1,"yes"
"2707",2,1,1,1,"low-income","Neither parent attended college",-9,2,"no"
"2708",2,1,1,3,"low-income","Neither parent attended college",-6,2,"no"
"2709",1,1,1,1,"low-income","Neither parent attended college",-6,2,"no"
"2710",1,3,3,5,"high-income","At least one parent attended college",-6,1,"yes"
"2711",1,2,4,4,"high-income","Neither parent attended college",-6,2,"no"
"2712",3,2,5,5,"high-income","At least one parent attended college",-9,-9,NA
"2713",3,2,3,3,"low-income","At least one parent attended college",2,2,"no"
"2714",4,4,3,4,"high-income","At least one parent attended college",1,1,"yes"
"2715",1,1,3,3,"low-income","Neither parent attended college",-6,-9,NA
"2716",2,1,3,-9,"low-income","Neither parent attended college",-9,1,"yes"
"2717",2,2,2,2,"low-income","Neither parent attended college",-6,-6,NA
"2718",1,1,2,2,"low-income","Neither parent attended college",1,2,"no"
"2719",3,1,4,2,"high-income","At least one parent attended college",1,1,"yes"
"2720",1,1,2,2,"low-income","Neither parent attended college",-9,-9,NA
"2721",2,3,1,3,"low-income","At least one parent attended college",-9,-9,NA
"2722",1,1,3,3,"low-income","Neither parent attended college",-9,-9,NA
"2723",4,4,5,5,"high-income","At least one parent attended college",-6,2,"no"
"2724",3,1,1,1,"low-income","At least one parent attended college",-9,2,"no"
"2725",2,1,4,1,"high-income","Neither parent attended college",-6,1,"yes"
"2726",1,2,2,2,"low-income","Neither parent attended college",-6,-6,NA
"2727",1,2,2,1,"low-income","Neither parent attended college",-9,-5,NA
"2728",4,4,3,3,"low-income","At least one parent attended college",2,2,"no"
"2729",3,3,5,5,"high-income","At least one parent attended college",-9,2,"no"
"2730",2,-3,3,-9,"low-income","Neither parent attended college",-9,2,"no"
"2731",1,2,3,-9,"low-income","Neither parent attended college",2,1,"no"
"2732",1,1,1,1,"low-income","Neither parent attended college",-6,1,"yes"
"2733",2,4,5,5,"high-income","At least one parent attended college",2,2,"no"
"2734",1,2,4,4,"high-income","Neither parent attended college",-9,2,"no"
"2735",3,3,5,5,"high-income","At least one parent attended college",1,-6,"yes"
"2736",1,1,3,3,"low-income","Neither parent attended college",1,1,"yes"
"2737",1,1,4,5,"high-income","Neither parent attended college",-6,-5,NA
"2738",2,4,5,5,"high-income","At least one parent attended college",-9,1,"yes"
"2739",2,2,2,2,"low-income","Neither parent attended college",1,1,"yes"
"2740",2,1,2,2,"low-income","Neither parent attended college",-6,1,"yes"
"2741",3,4,4,4,"high-income","At least one parent attended college",-6,-6,NA
"2742",1,2,1,3,"low-income","Neither parent attended college",-6,-6,NA
"2743",2,2,3,2,"low-income","Neither parent attended college",-6,-6,NA
"2744",4,4,5,5,"high-income","At least one parent attended college",2,2,"no"
"2745",3,2,3,1,"low-income","At least one parent attended college",-6,2,"no"
"2746",4,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"2747",1,1,4,3,"high-income","Neither parent attended college",-9,-9,NA
"2748",1,2,1,5,"high-income","Neither parent attended college",-6,2,"no"
"2749",3,3,3,3,"low-income","At least one parent attended college",-6,-6,NA
"2750",1,3,2,2,"low-income","At least one parent attended college",-6,-9,NA
"2751",4,2,5,5,"high-income","At least one parent attended college",-9,-6,NA
"2752",1,3,1,1,"low-income","At least one parent attended college",-6,-6,NA
"2753",2,2,3,3,"low-income","Neither parent attended college",-6,-6,NA
"2754",2,2,1,1,"low-income","Neither parent attended college",-6,-6,NA
"2755",2,3,4,4,"high-income","At least one parent attended college",-6,1,"yes"
"2756",1,3,1,-9,"low-income","At least one parent attended college",-9,1,"yes"
"2757",3,4,4,4,"high-income","At least one parent attended college",-6,-6,NA
"2758",1,1,5,-9,"high-income","Neither parent attended college",-9,-9,NA
"2759",2,1,3,3,"low-income","Neither parent attended college",1,2,"no"
"2760",3,3,3,3,"low-income","At least one parent attended college",-6,-6,NA
"2761",1,1,1,1,"low-income","Neither parent attended college",1,1,"yes"
"2762",2,2,3,-9,"low-income","Neither parent attended college",-9,-6,NA
"2763",3,3,4,-9,"high-income","At least one parent attended college",-6,-6,NA
"2764",-3,2,3,4,"high-income","Neither parent attended college",-9,-6,NA
"2765",1,1,3,5,"high-income","Neither parent attended college",-9,2,"no"
"2766",3,4,4,5,"high-income","At least one parent attended college",1,-9,"yes"
"2767",3,2,3,4,"high-income","At least one parent attended college",-6,-5,NA
"2768",3,2,4,4,"high-income","At least one parent attended college",1,-6,"yes"
"2769",1,2,3,3,"low-income","Neither parent attended college",-9,-6,NA
"2770",2,2,3,5,"high-income","Neither parent attended college",1,1,"yes"
"2771",2,1,3,5,"high-income","Neither parent attended college",-9,-6,NA
"2772",3,3,3,3,"low-income","At least one parent attended college",-6,-6,NA
"2773",2,2,1,-9,"low-income","Neither parent attended college",-9,1,"yes"
"2774",2,3,3,5,"high-income","At least one parent attended college",-9,2,"no"
"2775",3,3,1,-9,"low-income","At least one parent attended college",-6,-5,NA
"2776",3,3,5,5,"high-income","At least one parent attended college",-6,-6,NA
"2777",1,1,1,1,"low-income","Neither parent attended college",-6,-9,NA
"2778",3,1,3,3,"low-income","At least one parent attended college",-6,1,"yes"
"2779",2,2,3,3,"low-income","Neither parent attended college",2,2,"no"
"2780",1,1,1,1,"low-income","Neither parent attended college",1,1,"yes"
"2781",3,1,4,4,"high-income","At least one parent attended college",-9,-6,NA
"2782",2,2,3,3,"low-income","Neither parent attended college",1,1,"yes"
"2783",1,2,2,2,"low-income","Neither parent attended college",-6,2,"no"
"2784",3,3,4,4,"high-income","At least one parent attended college",-6,-6,NA
"2785",1,2,1,1,"low-income","Neither parent attended college",-6,-6,NA
"2786",3,1,3,3,"low-income","At least one parent attended college",1,1,"yes"
"2787",3,2,2,2,"low-income","At least one parent attended college",-6,1,"yes"
"2788",2,2,3,5,"high-income","Neither parent attended college",-9,-9,NA
"2789",4,4,5,5,"high-income","At least one parent attended college",2,2,"no"
"2790",1,1,1,3,"low-income","Neither parent attended college",1,1,"yes"
"2791",1,1,1,1,"low-income","Neither parent attended college",-6,1,"yes"
"2792",3,2,4,4,"high-income","At least one parent attended college",-9,-5,NA
"2793",3,3,5,5,"high-income","At least one parent attended college",2,2,"no"
"2794",2,2,5,5,"high-income","Neither parent attended college",-9,-9,NA
"2795",2,2,1,1,"low-income","Neither parent attended college",-6,1,"yes"
"2796",1,1,4,4,"high-income","Neither parent attended college",-6,-6,NA
"2797",2,2,1,5,"high-income","Neither parent attended college",1,1,"yes"
"2798",3,3,5,5,"high-income","At least one parent attended college",2,2,"no"
"2799",-3,3,2,2,"low-income","At least one parent attended college",-6,-6,NA
"2800",2,1,2,2,"low-income","Neither parent attended college",2,-6,"no"
"2801",3,3,5,5,"high-income","At least one parent attended college",-6,2,"no"
"2802",1,1,3,3,"low-income","Neither parent attended college",1,1,"yes"
"2803",1,1,5,5,"high-income","Neither parent attended college",-9,-6,NA
"2804",1,2,1,1,"low-income","Neither parent attended college",-9,-6,NA
"2805",1,2,2,2,"low-income","Neither parent attended college",1,1,"yes"
"2806",2,2,5,5,"high-income","Neither parent attended college",-9,-9,NA
"2807",3,1,3,4,"high-income","At least one parent attended college",-9,-9,NA
"2808",2,2,5,5,"high-income","Neither parent attended college",2,2,"no"
"2809",1,1,1,1,"low-income","Neither parent attended college",-6,1,"yes"
"2810",2,2,4,1,"high-income","Neither parent attended college",1,1,"yes"
"2811",3,3,4,4,"high-income","At least one parent attended college",2,1,"no"
"2812",3,3,5,5,"high-income","At least one parent attended college",1,2,"no"
"2813",2,4,5,5,"high-income","At least one parent attended college",2,2,"no"
"2814",1,1,1,-9,"low-income","Neither parent attended college",-9,-9,NA
"2815",4,2,5,5,"high-income","At least one parent attended college",-9,-9,NA
"2816",4,4,5,5,"high-income","At least one parent attended college",-9,1,"yes"
"2817",1,1,2,2,"low-income","Neither parent attended college",-6,1,"yes"
"2818",2,2,4,5,"high-income","Neither parent attended college",-6,-6,NA
"2819",2,1,1,1,"low-income","Neither parent attended college",-9,-6,NA
"2820",1,1,3,3,"low-income","Neither parent attended college",-9,-9,NA
"2821",2,1,2,-9,"low-income","Neither parent attended college",-9,2,"no"
"2822",2,1,1,-9,"low-income","Neither parent attended college",-9,-6,NA
"2823",3,3,3,3,"low-income","At least one parent attended college",-6,-6,NA
"2824",4,4,4,4,"high-income","At least one parent attended college",-6,-6,NA
"2825",3,4,5,5,"high-income","At least one parent attended college",-9,2,"no"
"2826",1,1,1,3,"low-income","Neither parent attended college",-9,-9,NA
"2827",1,1,4,-9,"high-income","Neither parent attended college",-9,-6,NA
"2828",1,1,3,2,"low-income","Neither parent attended college",1,2,"no"
"2829",1,2,2,2,"low-income","Neither parent attended college",1,-6,"yes"
"2830",2,2,3,3,"low-income","Neither parent attended college",-6,-6,NA
"2831",1,1,4,4,"high-income","Neither parent attended college",-6,1,"yes"
"2832",1,3,1,3,"low-income","At least one parent attended college",1,-6,"yes"
"2833",2,3,2,2,"low-income","At least one parent attended college",2,-6,"no"
"2834",4,4,3,3,"low-income","At least one parent attended college",-6,-6,NA
"2835",1,1,1,1,"low-income","Neither parent attended college",-6,2,"no"
"2836",1,2,2,5,"high-income","Neither parent attended college",1,2,"no"
"2837",1,2,2,1,"low-income","Neither parent attended college",1,2,"no"
"2838",3,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"2839",1,2,1,-9,"low-income","Neither parent attended college",-9,-9,NA
"2840",1,-3,1,-9,"low-income","Neither parent attended college",-9,1,"yes"
"2841",2,2,1,-9,"low-income","Neither parent attended college",-9,-6,NA
"2842",3,2,5,-9,"high-income","At least one parent attended college",2,2,"no"
"2843",3,2,2,2,"low-income","At least one parent attended college",-6,-5,NA
"2844",3,2,5,5,"high-income","At least one parent attended college",-9,-9,NA
"2845",4,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"2846",1,2,2,2,"low-income","Neither parent attended college",-9,1,"yes"
"2847",3,2,4,-9,"high-income","At least one parent attended college",-9,-6,NA
"2848",1,3,5,5,"high-income","At least one parent attended college",-9,-6,NA
"2849",2,3,2,-9,"low-income","At least one parent attended college",-9,-9,NA
"2850",1,1,2,2,"low-income","Neither parent attended college",2,1,"no"
"2851",1,2,1,5,"high-income","Neither parent attended college",2,2,"no"
"2852",1,1,4,-9,"high-income","Neither parent attended college",-9,-9,NA
"2853",2,1,1,1,"low-income","Neither parent attended college",-6,-5,NA
"2854",3,3,3,-9,"low-income","At least one parent attended college",-9,-9,NA
"2855",1,1,1,1,"low-income","Neither parent attended college",-6,-5,NA
"2856",3,4,2,-9,"low-income","At least one parent attended college",-6,1,"yes"
"2857",2,1,2,3,"low-income","Neither parent attended college",-9,2,"no"
"2858",1,1,1,1,"low-income","Neither parent attended college",1,2,"no"
"2859",1,2,1,1,"low-income","Neither parent attended college",2,2,"no"
"2860",2,1,2,2,"low-income","Neither parent attended college",-6,-6,NA
"2861",4,2,4,-9,"high-income","At least one parent attended college",-9,-6,NA
"2862",1,1,2,2,"low-income","Neither parent attended college",-9,-6,NA
"2863",1,3,3,3,"low-income","At least one parent attended college",1,1,"yes"
"2864",1,2,3,3,"low-income","Neither parent attended college",-9,-9,NA
"2865",1,2,1,4,"high-income","Neither parent attended college",-6,-6,NA
"2866",2,1,2,2,"low-income","Neither parent attended college",-6,-6,NA
"2867",3,3,4,4,"high-income","At least one parent attended college",-9,1,"yes"
"2868",4,2,5,5,"high-income","At least one parent attended college",-6,-6,NA
"2869",2,2,2,-9,"low-income","Neither parent attended college",2,2,"no"
"2870",1,1,4,4,"high-income","Neither parent attended college",2,1,"no"
"2871",1,2,3,-9,"low-income","Neither parent attended college",-9,2,"no"
"2872",2,2,3,4,"high-income","Neither parent attended college",1,1,"yes"
"2873",1,1,2,3,"low-income","Neither parent attended college",-6,1,"yes"
"2874",2,1,1,1,"low-income","Neither parent attended college",-9,-9,NA
"2875",2,1,3,1,"low-income","Neither parent attended college",-6,-9,NA
"2876",2,2,2,2,"low-income","Neither parent attended college",-6,-6,NA
"2877",1,3,5,5,"high-income","At least one parent attended college",-9,-6,NA
"2878",1,1,4,4,"high-income","Neither parent attended college",1,2,"no"
"2879",3,2,2,-9,"low-income","At least one parent attended college",-9,-9,NA
"2880",1,1,2,2,"low-income","Neither parent attended college",-9,-5,NA
"2881",4,4,5,-9,"high-income","At least one parent attended college",-6,-6,NA
"2882",2,2,3,-9,"low-income","Neither parent attended college",-9,1,"yes"
"2883",2,3,3,-9,"low-income","At least one parent attended college",-9,2,"no"
"2884",4,4,3,3,"low-income","At least one parent attended college",2,2,"no"
"2885",2,1,2,-9,"low-income","Neither parent attended college",-9,-6,NA
"2886",1,1,1,-9,"low-income","Neither parent attended college",-9,-6,NA
"2887",2,2,5,5,"high-income","Neither parent attended college",-6,2,"no"
"2888",3,3,3,3,"low-income","At least one parent attended college",-6,1,"yes"
"2889",4,3,5,5,"high-income","At least one parent attended college",1,-6,"yes"
"2890",1,1,3,3,"low-income","Neither parent attended college",-9,-9,NA
"2891",2,2,5,5,"high-income","Neither parent attended college",1,1,"yes"
"2892",3,3,3,3,"low-income","At least one parent attended college",2,2,"no"
"2893",1,1,3,2,"low-income","Neither parent attended college",-6,-6,NA
"2894",3,2,2,5,"high-income","At least one parent attended college",2,2,"no"
"2895",4,4,5,5,"high-income","At least one parent attended college",1,-6,"yes"
"2896",3,3,2,2,"low-income","At least one parent attended college",-6,2,"no"
"2897",3,4,3,4,"high-income","At least one parent attended college",-6,-6,NA
"2898",4,2,4,5,"high-income","At least one parent attended college",-6,-6,NA
"2899",2,3,2,-9,"low-income","At least one parent attended college",-9,-6,NA
"2900",2,1,3,3,"low-income","Neither parent attended college",-9,-6,NA
"2901",1,2,3,4,"high-income","Neither parent attended college",-9,-6,NA
"2902",2,1,2,2,"low-income","Neither parent attended college",-6,1,"yes"
"2903",2,2,1,1,"low-income","Neither parent attended college",2,2,"no"
"2904",2,3,5,5,"high-income","At least one parent attended college",1,1,"yes"
"2905",1,3,4,4,"high-income","At least one parent attended college",-6,1,"yes"
"2906",1,2,1,2,"low-income","Neither parent attended college",-9,-6,NA
"2907",1,1,2,1,"low-income","Neither parent attended college",-9,1,"yes"
"2908",4,3,5,5,"high-income","At least one parent attended college",2,1,"no"
"2909",1,3,3,1,"low-income","At least one parent attended college",-9,-9,NA
"2910",1,1,2,3,"low-income","Neither parent attended college",-6,-6,NA
"2911",1,2,4,4,"high-income","Neither parent attended college",-9,-9,NA
"2912",3,1,3,3,"low-income","At least one parent attended college",-9,-6,NA
"2913",3,2,5,5,"high-income","At least one parent attended college",-9,-6,NA
"2914",1,1,1,-9,"low-income","Neither parent attended college",-6,1,"yes"
"2915",2,1,1,1,"low-income","Neither parent attended college",1,-6,"yes"
"2916",2,1,2,1,"low-income","Neither parent attended college",-9,-6,NA
"2917",2,1,3,4,"high-income","Neither parent attended college",-9,1,"yes"
"2918",2,2,3,4,"high-income","Neither parent attended college",-9,-6,NA
"2919",2,2,5,5,"high-income","Neither parent attended college",-9,2,"no"
"2920",1,2,3,-9,"low-income","Neither parent attended college",-9,-9,NA
"2921",1,2,2,3,"low-income","Neither parent attended college",-6,1,"yes"
"2922",3,3,1,1,"low-income","At least one parent attended college",-9,-6,NA
"2923",2,2,5,5,"high-income","Neither parent attended college",-6,-6,NA
"2924",1,1,2,2,"low-income","Neither parent attended college",-6,-6,NA
"2925",2,2,2,3,"low-income","Neither parent attended college",1,-6,"yes"
"2926",2,1,3,3,"low-income","Neither parent attended college",-6,2,"no"
"2927",3,3,2,4,"high-income","At least one parent attended college",-6,-6,NA
"2928",1,1,2,2,"low-income","Neither parent attended college",-6,2,"no"
"2929",2,1,2,1,"low-income","Neither parent attended college",-6,-9,NA
"2930",2,2,2,-9,"low-income","Neither parent attended college",-9,-9,NA
"2931",1,1,3,1,"low-income","Neither parent attended college",-6,2,"no"
"2932",4,3,5,5,"high-income","At least one parent attended college",1,2,"no"
"2933",4,1,3,4,"high-income","At least one parent attended college",-6,-6,NA
"2934",2,3,3,-9,"low-income","At least one parent attended college",-9,-9,NA
"2935",1,1,1,-9,"low-income","Neither parent attended college",-6,-6,NA
"2936",3,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"2937",1,2,3,3,"low-income","Neither parent attended college",-9,1,"yes"
"2938",2,2,3,-9,"low-income","Neither parent attended college",-9,-6,NA
"2939",3,3,5,5,"high-income","At least one parent attended college",1,1,"yes"
"2940",4,4,5,5,"high-income","At least one parent attended college",-6,-5,NA
"2941",3,3,3,5,"high-income","At least one parent attended college",-9,-6,NA
"2942",3,1,2,2,"low-income","At least one parent attended college",-9,2,"no"
"2943",3,2,5,4,"high-income","At least one parent attended college",-6,-9,NA
"2944",1,2,3,4,"high-income","Neither parent attended college",-6,2,"no"
"2945",2,2,3,3,"low-income","Neither parent attended college",-9,-9,NA
"2946",4,2,5,5,"high-income","At least one parent attended college",-9,-6,NA
"2947",1,1,2,2,"low-income","Neither parent attended college",1,2,"no"
"2948",1,1,2,1,"low-income","Neither parent attended college",1,1,"yes"
"2949",4,3,5,5,"high-income","At least one parent attended college",1,1,"yes"
"2950",3,2,3,4,"high-income","At least one parent attended college",-9,2,"no"
"2951",1,2,4,4,"high-income","Neither parent attended college",-6,-5,NA
"2952",1,1,3,-9,"low-income","Neither parent attended college",-6,-9,NA
"2953",2,3,4,4,"high-income","At least one parent attended college",-6,-6,NA
"2954",2,2,2,4,"high-income","Neither parent attended college",1,2,"no"
"2955",1,1,3,3,"low-income","Neither parent attended college",1,2,"no"
"2956",3,3,1,1,"low-income","At least one parent attended college",-6,-6,NA
"2957",3,2,4,4,"high-income","At least one parent attended college",-6,-6,NA
"2958",1,2,4,5,"high-income","Neither parent attended college",-6,-6,NA
"2959",1,3,3,3,"low-income","At least one parent attended college",1,1,"yes"
"2960",1,1,1,1,"low-income","Neither parent attended college",-6,2,"no"
"2961",2,1,3,3,"low-income","Neither parent attended college",-6,2,"no"
"2962",1,2,2,-9,"low-income","Neither parent attended college",-6,-5,NA
"2963",3,1,3,3,"low-income","At least one parent attended college",-9,2,"no"
"2964",1,-3,1,-9,"low-income","Neither parent attended college",-9,-9,NA
"2965",1,2,2,2,"low-income","Neither parent attended college",-9,-9,NA
"2966",1,3,2,2,"low-income","At least one parent attended college",-9,-9,NA
"2967",2,2,3,3,"low-income","Neither parent attended college",-6,2,"no"
"2968",4,2,5,5,"high-income","At least one parent attended college",-6,-6,NA
"2969",1,1,4,5,"high-income","Neither parent attended college",-9,-6,NA
"2970",3,2,2,-9,"low-income","At least one parent attended college",-9,1,"yes"
"2971",3,3,5,5,"high-income","At least one parent attended college",-9,-6,NA
"2972",1,2,2,4,"high-income","Neither parent attended college",-6,-6,NA
"2973",2,1,5,5,"high-income","Neither parent attended college",-9,-9,NA
"2974",2,2,3,3,"low-income","Neither parent attended college",-6,1,"yes"
"2975",3,2,4,3,"high-income","At least one parent attended college",-6,1,"yes"
"2976",1,1,3,3,"low-income","Neither parent attended college",-9,1,"yes"
"2977",3,2,4,4,"high-income","At least one parent attended college",-9,1,"yes"
"2978",1,1,2,-9,"low-income","Neither parent attended college",-9,-5,NA
"2979",4,3,4,4,"high-income","At least one parent attended college",-6,-6,NA
"2980",3,2,5,5,"high-income","At least one parent attended college",-9,-6,NA
"2981",1,2,5,5,"high-income","Neither parent attended college",-6,2,"no"
"2982",1,1,3,2,"low-income","Neither parent attended college",-9,1,"yes"
"2983",2,2,2,5,"high-income","Neither parent attended college",-9,-6,NA
"2984",1,1,4,4,"high-income","Neither parent attended college",-9,1,"yes"
"2985",1,3,3,3,"low-income","At least one parent attended college",-9,1,"yes"
"2986",4,4,5,5,"high-income","At least one parent attended college",2,2,"no"
"2987",1,3,2,-9,"low-income","At least one parent attended college",-9,-9,NA
"2988",1,1,1,4,"high-income","Neither parent attended college",-6,1,"yes"
"2989",2,3,2,2,"low-income","At least one parent attended college",-6,2,"no"
"2990",1,1,3,4,"high-income","Neither parent attended college",-9,2,"no"
"2991",2,1,1,1,"low-income","Neither parent attended college",-9,-6,NA
"2992",3,2,3,3,"low-income","At least one parent attended college",-6,-5,NA
"2993",1,3,4,4,"high-income","At least one parent attended college",-6,-6,NA
"2994",1,2,1,1,"low-income","Neither parent attended college",-6,-6,NA
"2995",1,2,1,-9,"low-income","Neither parent attended college",-6,-6,NA
"2996",1,1,2,3,"low-income","Neither parent attended college",-9,-6,NA
"2997",1,1,4,3,"high-income","Neither parent attended college",1,1,"yes"
"2998",2,2,1,4,"high-income","Neither parent attended college",-9,-9,NA
"2999",2,2,3,1,"low-income","Neither parent attended college",-6,-6,NA
"3000",2,3,3,3,"low-income","At least one parent attended college",2,2,"no"
"3001",1,1,1,4,"high-income","Neither parent attended college",-9,1,"yes"
"3002",3,4,3,-9,"low-income","At least one parent attended college",-9,2,"no"
"3003",3,2,2,2,"low-income","At least one parent attended college",-9,2,"no"
"3004",3,2,4,4,"high-income","At least one parent attended college",-6,-6,NA
"3005",2,3,4,4,"high-income","At least one parent attended college",-9,-6,NA
"3006",3,4,1,1,"low-income","At least one parent attended college",1,-6,"yes"
"3007",2,2,4,5,"high-income","Neither parent attended college",-6,-9,NA
"3008",1,2,1,1,"low-income","Neither parent attended college",1,-6,"yes"
"3009",3,2,3,5,"high-income","At least one parent attended college",-6,-6,NA
"3010",1,1,3,-9,"low-income","Neither parent attended college",-9,2,"no"
"3011",2,2,3,3,"low-income","Neither parent attended college",1,2,"no"
"3012",2,1,1,-9,"low-income","Neither parent attended college",-9,-6,NA
"3013",3,1,3,4,"high-income","At least one parent attended college",-6,-6,NA
"3014",3,2,5,5,"high-income","At least one parent attended college",-6,-9,NA
"3015",2,2,4,4,"high-income","Neither parent attended college",-9,1,"yes"
"3016",1,3,1,2,"low-income","At least one parent attended college",-6,-6,NA
"3017",2,2,3,4,"high-income","Neither parent attended college",-9,1,"yes"
"3018",3,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"3019",4,4,5,5,"high-income","At least one parent attended college",1,2,"no"
"3020",3,3,5,5,"high-income","At least one parent attended college",1,-6,"yes"
"3021",1,2,2,-9,"low-income","Neither parent attended college",2,-6,"no"
"3022",1,1,2,2,"low-income","Neither parent attended college",2,2,"no"
"3023",3,1,1,3,"low-income","At least one parent attended college",-6,-6,NA
"3024",2,3,2,5,"high-income","At least one parent attended college",-6,1,"yes"
"3025",3,2,3,5,"high-income","At least one parent attended college",-9,-9,NA
"3026",1,2,3,3,"low-income","Neither parent attended college",-6,1,"yes"
"3027",4,3,5,5,"high-income","At least one parent attended college",-6,2,"no"
"3028",3,3,5,4,"high-income","At least one parent attended college",-9,1,"yes"
"3029",1,2,1,-9,"low-income","Neither parent attended college",-9,-9,NA
"3030",3,2,1,-9,"low-income","At least one parent attended college",-6,-6,NA
"3031",2,-3,4,-9,"high-income","Neither parent attended college",-9,2,"no"
"3032",3,4,5,5,"high-income","At least one parent attended college",2,2,"no"
"3033",2,3,1,5,"high-income","At least one parent attended college",2,1,"no"
"3034",2,2,2,-9,"low-income","Neither parent attended college",-6,-6,NA
"3035",1,1,2,2,"low-income","Neither parent attended college",2,1,"no"
"3036",1,2,2,-9,"low-income","Neither parent attended college",-9,-9,NA
"3037",2,-3,3,-9,"low-income","Neither parent attended college",1,1,"yes"
"3038",1,2,2,4,"high-income","Neither parent attended college",-9,-9,NA
"3039",3,3,3,3,"low-income","At least one parent attended college",2,2,"no"
"3040",1,1,3,3,"low-income","Neither parent attended college",-9,-9,NA
"3041",3,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"3042",3,2,3,3,"low-income","At least one parent attended college",-6,-6,NA
"3043",2,2,4,5,"high-income","Neither parent attended college",1,1,"yes"
"3044",1,2,1,3,"low-income","Neither parent attended college",-9,-6,NA
"3045",3,1,5,4,"high-income","At least one parent attended college",-9,-6,NA
"3046",3,3,5,5,"high-income","At least one parent attended college",2,2,"no"
"3047",1,1,1,1,"low-income","Neither parent attended college",-9,-6,NA
"3048",1,2,2,-9,"low-income","Neither parent attended college",-9,1,"yes"
"3049",4,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"3050",4,4,4,4,"high-income","At least one parent attended college",-6,-6,NA
"3051",3,4,4,-9,"high-income","At least one parent attended college",-9,2,"no"
"3052",2,2,4,-9,"high-income","Neither parent attended college",-6,1,"yes"
"3053",3,1,2,-9,"low-income","At least one parent attended college",-9,1,"yes"
"3054",1,1,3,-9,"low-income","Neither parent attended college",-9,-6,NA
"3055",2,1,2,2,"low-income","Neither parent attended college",1,2,"no"
"3056",4,3,5,5,"high-income","At least one parent attended college",2,2,"no"
"3057",1,3,5,5,"high-income","At least one parent attended college",2,-6,"no"
"3058",2,2,3,3,"low-income","Neither parent attended college",1,1,"yes"
"3059",1,2,3,3,"low-income","Neither parent attended college",-6,-6,NA
"3060",4,2,4,4,"high-income","At least one parent attended college",-9,-6,NA
"3061",3,1,3,5,"high-income","At least one parent attended college",-9,-6,NA
"3062",2,2,4,4,"high-income","Neither parent attended college",-6,-9,NA
"3063",1,1,1,1,"low-income","Neither parent attended college",-6,-6,NA
"3064",2,3,3,3,"low-income","At least one parent attended college",-6,-6,NA
"3065",3,3,4,4,"high-income","At least one parent attended college",-6,-6,NA
"3066",3,2,4,4,"high-income","At least one parent attended college",-9,1,"yes"
"3067",1,1,3,3,"low-income","Neither parent attended college",-6,2,"no"
"3068",1,1,2,2,"low-income","Neither parent attended college",-9,2,"no"
"3069",1,-3,2,-9,"low-income","Neither parent attended college",-6,-6,NA
"3070",4,3,5,5,"high-income","At least one parent attended college",-6,-6,NA
"3071",3,2,3,3,"low-income","At least one parent attended college",-9,1,"yes"
"3072",3,2,4,4,"high-income","At least one parent attended college",-6,-6,NA
"3073",4,4,4,3,"high-income","At least one parent attended college",-6,-6,NA
"3074",1,2,3,5,"high-income","Neither parent attended college",-9,1,"yes"
"3075",4,4,3,-9,"low-income","At least one parent attended college",1,1,"yes"
"3076",2,1,1,5,"high-income","Neither parent attended college",-6,-9,NA
